"expediente","tipo","objeto","estado","importe","fechas","url"
"908.22","Suministros","Suministro, montaje e instalación de mesa anatómica de disección virtual para la enseñanza del Grado de Medicina en la Universidad de Almería","Resuelta","84.750,00","Publicación PLACSP:
Desistimiento:05/03/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=ejl%2FrZQ95u6iEJrVRqloyA%3D%3D"
"910.22","Suministros","Suministro de un invernadero, incluidos los trabajos necesarios en la Finca Agrícola Experimental del departamento de Masaya de la Universidad Nacional de Ingeniería (Nicaragua)","Resuelta","49.400,83","Publicación PLACSP:
Adjudicación:10/03/2022
Formalización:16/03/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Prg9SRKctZ%2Brz3GQd5r6SQ%3D%3D"
"909.22","Suministros","Suministro de un sistema de fertirrigación y varios insumos para el Invernadero que la UNI tiene en la Finca Agrícola Experimental del departamento de Masaya (Nicaragua)","Resuelta","27.370,66","Publicación PLACSP:
Adjudicación:10/03/2022
Formalización:16/03/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=cTCaHUGppkoSugstABGr5A%3D%3D"
"907.22","Servicios","Servicio de asistencia audiovisual a actos/eventos","Resuelta","330.000,00","Publicación PLACSP:
Adjudicación:17/05/2022
Formalización:09/06/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=yFX4sdpWBCiXQV0WE7lYPw%3D%3D"
"899N.21","Servicios","Redacción del Proyecto de Ejecución de Obra y Dirección de las obras de adecuación de espacios del futuro Global Space Bulevar (Plaza UAL Mundo) en el Campus universitario de la Universidad en Almería","Resuelta","14.000,00","Publicación PLACSP:
Adjudicación:14/02/2022
Formalización:16/02/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=4510mXUzJHDnSoTX3z%2F7wA%3D%3D"
"905.21","Suministros","Suministro de licencias de Google Workspace for Education Plus para toda la plantilla PDI y PAS de la Universidad de Almería, así como para los alumnos","Resuelta","93.300,00","Publicación PLACSP:
Adjudicación:09/03/2022
Formalización:05/04/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=15uo5DbQig97h85%2Fpmmsfw%3D%3D"
"904.21","Suministros","Contratación de la licencia de uso de la Herramienta de videoconferencia Blackboard Collaborate, para la plataforma de docencia virtual Blackboard","Resuelta","77.000,00","Publicación PLACSP:
Adjudicación:09/02/2022
Formalización:14/02/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=6KaHznhDrJemq21uxhbaVQ%3D%3D"
"906.21","Servicios","Servicios de consultoría y asistencia técnica en el mantenimiento y conservación de las instalaciones de la Universidad de Almería","Resuelta","52.500,00","Publicación PLACSP:
Adjudicación:08/02/2022
Formalización:15/02/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=xXgpyphrT%2F6iEJrVRqloyA%3D%3D"
"903.21","Suministros","Derecho de despliegue ilimitado de los programas Oracle que se detallan a continuación para las operaciones de negocio de la Universidad de Almería, comprendiendo las actividades académicas, docentes, de investigación y de gestión, durante un periodo de dos años y sin facultad de cesión a terceros de las licencias: - Oracle Database Enterprise Edition - Oracle Real Application Clusters - Oracle Partitioning - Oracle Advanced Security - Oracle Diagnostics Pack - Oracle Tuning Pack - Oracle Data Integrator Enterprise Edition - Oracle WebLogic Suite - Oracle Internet Developer Suite - Oracle SOA Suite for Oracle Middleware - Business Intelligence Suite Extended Edition - Oracle Access Manager","Resuelta","88.153,20","Publicación PLACSP:
Adjudicación:25/01/2022
Formalización:01/02/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=99%2F9fJ%2FNeFYBPRBxZ4nJ%2Fg%3D%3D"
"902.21","Suministros","Suministro software de Microsoft","Resuelta","345.889,20","Publicación PLACSP:
Adjudicación:08/02/2022
Formalización:04/03/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=yrjihR8WsoeXQV0WE7lYPw%3D%3D"
"895.21","Servicios","Servicio de asistencia técnica en el Centro de Atención a Usuarios del STIC","Resuelta","224.000,00","Publicación PLACSP:
Adjudicación:14/02/2022
Formalización:10/03/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Iv2MVkELWI2rz3GQd5r6SQ%3D%3D"
"901.21","Patrimonial","Concesión demanial de uso privativo de local nº 0340/0341 ubicado en la galería comercial ubicada en el Edificio de Atención al Estudiante que tiene la naturaleza de bien de dominio público, para su ulterior explotación mediante el ejercicio de actividad económica de venta de comida saludable, excluyendo los servicios de cafetería","Resuelta","5.381,04","Publicación PLACSP:
Adjudicación:08/02/2022
Formalización:15/02/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=aO%2BfRlZcNrVvYnTkQN0%2FZA%3D%3D"
"866.21","Suministros","Ofertas para la contratación de diversos suministros que promueve la Universidad de Almería en el presente procedimiento restringido, sujeto a regulación armonizada, mediante un Sistema Dinámico de Adquisición.","Publicada","3.402.165,52","Present. Solicitud:25/01/2031
Present. Oferta:25/01/2031
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=MaztbFqp8GCrz3GQd5r6SQ%3D%3D"
"897.21","Suministros","Derecho de despliegue ilimitado de los programas Oracle que se detallan a continuación para las operaciones de negocio de la Universidad de Almería, comprendiendo las actividades académicas, docentes, de investigación y de gestión, durante un periodo de dos años y sin facultad de cesión a terceros de las licencias: - Oracle Database Enterprise Edition - Oracle Real Application Clusters - Oracle Partitioning - Oracle Advanced Security - Oracle Diagnostics Pack - Oracle Tuning Pack - Oracle Data Integrator Enterprise Edition - Oracle WebLogic Suite - Oracle Internet Developer Suite - Oracle SOA Suite for Oracle Middleware - Business Intelligence Suite Extended Edition - Oracle Access Manager","Resuelta","88.153,20","Publicación PLACSP:
Adjudicación:16/12/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=HF45MoAvTkESugstABGr5A%3D%3D"
"859.21","Servicios","Ofertas para la contratación de diversos servicios que promueve la Universidad de Almería en el presente procedimiento restringido, sujeto a regulación armonizada, mediante un Sistema Dinámico de Adquisición.","Publicada","7.002.006,58","Present. Solicitud:17/11/2031
Present. Oferta:17/11/2031
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=I5LrA4KoQmuXQV0WE7lYPw%3D%3D"
"900.21","Obras","Obra de revestimiento exterior (fachada) del Edificio de Empresariales, edificio sito en el Campus Universitario de la Cañada, parcela B5","Resuelta","312.514,37","Publicación PLACSP:
Adjudicación:25/01/2022
Formalización:26/01/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=JLXLloEiplyrz3GQd5r6SQ%3D%3D"
"899.21","Servicios","Concurso de ideas y dirección de obra para adecuación de espacios del futuro Global Space Bulevar","Resuelta","14.000,00","Publicación PLACSP:
Adjudicación:08/02/2022
Formalización:16/02/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2FsiFUAfPMYHnSoTX3z%2F7wA%3D%3D"
"898.21","Suministros","Suministro, montaje e instalación de mobiliario para 4 laboratorios de docencia sitos en la ESI (Escuela Superior de Ingeniería) de la Universidad de Almería","Resuelta","134.000,00","Publicación PLACSP:
Adjudicación:10/12/2021
Formalización:14/01/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=SvodZdPP9nUBPRBxZ4nJ%2Fg%3D%3D"
"893.21","Servicios","Prestación de servicio de mantenimiento de los equipos LCMS QQQ y la bomba binaria 1290","Resuelta","31.173,12","Publicación PLACSP:
Adjudicación:11/11/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=suyyMDu6rfqXQV0WE7lYPw%3D%3D"
"896.21","Obras","Ejecución de la obra de reforma y adecuación de la oficina del Proyecto de Información Estratégica sita en el Edificio Central de la Universidad de Almería despacho 0.860","Resuelta","69.105,85","Publicación PLACSP:
Adjudicación:02/12/2021
Formalización:09/12/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=oMXOoBymzdimq21uxhbaVQ%3D%3D"
"894.21","Servicios","Prestación del servicio de asesoramiento y defensa en juicio en los incidentes procesales, recursos y demás que se tramiten en relación con el procedimiento Abreviado nº 145/2020, así como el Procedimiento de la Pieza Separada nº 145.2/2020","Resuelta","50.000,00","Publicación PLACSP:
Adjudicación:16/12/2021
Formalización:17/12/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=JSblsr3zGCMSugstABGr5A%3D%3D"
"892.21","Servicios","Proyecto y Dirección de Obra de las obras de reforma del edificio CAE (primera y segunda planta), en el Campus universitario de la Universidad en Almería sito en la Cañada de San Urbano, Almería","Resuelta","50.000,00","Publicación PLACSP:
Adjudicación:21/12/2021
Formalización:11/01/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=ixWL0nBXT497h85%2Fpmmsfw%3D%3D"
"890.21","Suministros","Suministro, montaje e instalación de mobiliario para los despachos, Salas de Reuniones, Aulas y Aula Magna, situados en el nuevo Edificio de Empresariales, dentro del Campus de la Universidad de Almería","Resuelta","543.222,36","Publicación PLACSP:
Adjudicación:14/02/2022
Formalización:10/03/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=vilDrZL6ksumq21uxhbaVQ%3D%3D"
"889.21","Suministros","Suministro, montaje e instalación de mobiliario para 4 laboratorios de docencia sitos en la ESI (Escuela Superior de Ingeniería) de la Universidad de Almería","Resuelta","134.000,00","Publicación PLACSP:
Adjudicación:28/10/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=n8WJmeHu%2BnYuf4aBO%2BvQlQ%3D%3D"
"885.21","Servicios","Servicio de producción y redacción audiovisual en el Gabinete de Comunicación de la Universidad de Almería","Resuelta","30.000,00","Publicación PLACSP:
Adjudicación:16/11/2021
Formalización:19/11/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=m5onLr1yzptvYnTkQN0%2FZA%3D%3D"
"891.21","Servicios","Prestación del servicio de asesoramiento y defensa en juicio en los incidentes procesales, recursos y demás que se tramiten en relación con el procedimiento Abreviado nº 145/2020, así como con los Procedimientos de las Piezas Separadas nº 145.2/2020 y nº 145.1/2020","Resuelta","50.000,00","Publicación PLACSP:
Desistimiento:17/12/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=2%2BQhCZU7MDoBPRBxZ4nJ%2Fg%3D%3D"
"886.21","Servicios","Servicio de atención/dinamización de la Universidad de Mayores en la sede de Roquetas de Mar","Resuelta","6.671,00","Publicación PLACSP:
Adjudicación:04/11/2021
Formalización:05/11/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=hHFr4pXwuid7h85%2Fpmmsfw%3D%3D"
"866NULO.21","Suministros","Ofertas para la contratación de diversos suministros que promueve la Universidad de Almería en el presente procedimiento restringido, sujeto a regulación armonizada, mediante un Sistema Dinámico de Adquisición.","Anulada","3.402.165,52","","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=GuNHwpMc6AYBPRBxZ4nJ%2Fg%3D%3D"
"859NULO.21","Servicios","Ofertas para la contratación de diversos servicios que promueve la Universidad de Almería en el presente procedimiento restringido, sujeto a regulación armonizada, mediante un Sistema Dinámico de Adquisición.","Anulada","7.002.086,58","","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=wttOjqv6RGmiEJrVRqloyA%3D%3D"
"887.21","Obras","Ejecución de obra del Edificio de Deportes","Resuelta","3.631.476,73","Publicación PLACSP:
Adjudicación:29/07/2021
Formalización:06/09/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=mN7TPdaqeLqrz3GQd5r6SQ%3D%3D"
"881.21","Suministros","Suministro y actualización del sistema audiovisual de la Sala de Juntas del Paraninfo de la Universidad de Almería","Resuelta","95.000,00","Publicación PLACSP:
Adjudicación:08/09/2021
Formalización:10/09/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Rg4e4YVRf157h85%2Fpmmsfw%3D%3D"
"875.21","Servicios","Prestación de servicios de monitorización de sistemas de información en la Universidad de Almería","Resuelta","40.800,00","Publicación PLACSP:
Adjudicación:22/07/2021
Formalización:28/07/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=m%2F%2FlJwc%2BlhKmq21uxhbaVQ%3D%3D"
"883.21","Servicios","Prestación de Servicio de Socorrismo y Salvamento Acuático en piscina cubierta de la Universidad de Almería","Resuelta","66.450,00","Publicación PLACSP:
Adjudicación:08/09/2021
Formalización:30/09/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=52VmHLfCU2kuf4aBO%2BvQlQ%3D%3D"
"884.21","Suministros","Suministro, instalación y configuración inicial de una solución de hiperconvergencia, gestionada desde el VMware vCenter utilizado en la actualidad e instalada en el CPD de la UAL","Resuelta","150.000,00","Publicación PLACSP:
Adjudicación:26/10/2021
Formalización:23/11/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=SEEHlWyV8g2rz3GQd5r6SQ%3D%3D"
"877.21","Servicios","Servicio de resolución in situ de incidentes y peticiones de servicio TIC del personal docente e investigador de la UAL en el ámbito de la microinformática, las comunicaciones y los medios audiovisuales","Resuelta","100.000,00","Publicación PLACSP:
Adjudicación:29/07/2021
Formalización:03/09/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Nz0Am1ebY%2FWiEJrVRqloyA%3D%3D"
"880.21","Servicios","Dirección de Obra de la construcción del Edificio de Deportes, en el Campus universitario de la Universidad en Almería sito en la Cañada de San Urbano, Almería.","Resuelta","50.000,00","Publicación PLACSP:
Adjudicación:28/09/2021
Formalización:30/09/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=OiQ80mijMzIuf4aBO%2BvQlQ%3D%3D"
"878.21","Suministros","Suministro de equipo extractor a alta presión con cargo a la subvención concedida por la Junta de Andalucía titulada ""Infraestructura para la producción de compuestos bioactivos y bioproductos de alto valor añadido a partir de microalgas marinas mediante bioprocesos sostenibles"", con referencia IE19_027 UAL.","Resuelta","65.500,00","Publicación PLACSP:
Adjudicación:29/07/2021
Formalización:30/07/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=omzWv5V%2B%2FbBvYnTkQN0%2FZA%3D%3D"
"879.21","Suministros","Suministro de analizador de espectrometría de alta Resolución acoplado a cromatógrafo de gases y con diferentes modos de inyección de muestra automática y robotizada financiado con cargo a la subvención de la Consejería de Transformación Económica, Industria, Conocimiento y Universidades de la JA, ref IE19_021 UAL, cofinanciada con Fondos FEDER dentro del Programa Operativo 2014-2020","Resuelta","272.164,14","Publicación PLACSP:
Adjudicación:21/09/2021
Formalización:14/10/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=KFmB9LcnO2Gmq21uxhbaVQ%3D%3D"
"873.21","Suministros","Suministro, montaje, instalación de mobiliario para los despachos, Salas de Reuniones, Aulas y Aula Magna, situados en el nuevo Edificio de Empresariales, dentro del Campus de la Universidad de Almería.","Anulada","543.222,36","","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=hBMRRQ4BHsgSugstABGr5A%3D%3D"
"882.21","Suministros","El suministro, montaje, e instalación de mobiliario para los despachos, sala de reuniones, y puestos de trabajo, situados en la Reforma de espacios para el Servicio de Investigación en el Edificio Central, dentro del Campus de la Universidad de Almería","Resuelta","82.385,95","Publicación PLACSP:
Adjudicación:09/07/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=VCjzGI04ecNvYnTkQN0%2FZA%3D%3D"
"870.21","Suministros","Suministro de máquina de vending para la venta de productos multiformato.","Resuelta","34.660,00","Publicación PLACSP:
Adjudicación:17/12/2021
Formalización:17/12/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=b5nj8f99mnAuf4aBO%2BvQlQ%3D%3D"
"876.21","Servicios","Servicios de Dirección de Obra de las obras de construcción del edificio Aulario de Informática en el Campus universitario de la Universidad en Almería sito en la Cañada de San Urbano.","Resuelta","75.000,00","Publicación PLACSP:
Adjudicación:25/06/2021
Formalización:29/06/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Vpyy0%2Be0vnFvYnTkQN0%2FZA%3D%3D"
"874.21","Obras","Ejecución de obra del Aulario de Informática","Resuelta","4.703.057,31","Publicación PLACSP:
Adjudicación:10/06/2021
Formalización:09/07/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=90SKsOJp6lp7h85%2Fpmmsfw%3D%3D"
"872.21","Servicios","Prestación de servicios para el programa Study Abroad de la Universidad de Almería en 2021.","Resuelta","118.363,64","Publicación PLACSP:
Adjudicación:11/05/2021
Formalización:09/06/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=g2boLZ6%2FywyiEJrVRqloyA%3D%3D"
"871.21","Servicios","Servicios de mediación, asesoramiento profesional, y asistencia técnica antes, durante y con posterioridad a la formalización de contratos de seguros privados","Evaluación","0,00","Present. Oferta:03/05/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=iyzxKs3vx4Kmq21uxhbaVQ%3D%3D"
"864.21","Servicios","Servicios de auditoría de las cuentas anuales de la Universidad de Almería y de las de la Fundación Universidad de Almería, y Fundación UAL-ANECOOP y servicio de auditoría para la justificación de proyectos de investigación, cooperación internacional, subvenciones y otras ayudas concedidas a la Universidad de Almería.","Resuelta","99.500,00","Publicación PLACSP:
Adjudicación:21/07/2021
Formalización:22/07/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=n%2BfjO%2BeGy%2BAuf4aBO%2BvQlQ%3D%3D"
"869.21","Servicios","Servicio de gestión de las redes sociales corporativas de la Universidad de Almería (perfiles oficiales de la UAL en las distintas plataformas de redes sociales).","Resuelta","22.000,00","Publicación PLACSP:
Adjudicación:15/06/2021
Formalización:17/06/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=wsIvcDPX1foBPRBxZ4nJ%2Fg%3D%3D"
"862bis.20","Suministros","Suministro de Equipo de Fluorescencia de Rayos X financiado con cargo a la subvención de la Consejería de Economía, Conocimiento, Empresas y Universidad de la Junta de Andalucía, con referencia 5447-28, cofinanciada con Fondos FEDER dentro del Programa Operativo 2014-2020.","Resuelta","49.640,00","Publicación PLACSP:
Adjudicación:23/04/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=z1BGkpEVMTUBPRBxZ4nJ%2Fg%3D%3D"
"868.21","Suministros","Suministro de la licencia Campus de Matlab (derecho de uso y actualización)","Resuelta","61.151,09","Publicación PLACSP:
Adjudicación:08/04/2021
Formalización:14/04/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=KBBNhyHoWDKXQV0WE7lYPw%3D%3D"
"867.20","Servicios","Mantenimiento de equipos Q Exactive Focus Standar MSSYSTEM y HPG-3400RS PUMP","Resuelta","22.617,00","Publicación PLACSP:
Adjudicación:08/04/2021
Formalización:12/04/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=YiOhENNM7Hyrz3GQd5r6SQ%3D%3D"
"865.21","Suministros","Adquisición de la licencia software de usuarios ilimitados UDS Enterprise Education Edition con cobertura de servicios de mantenimiento, soporte y asistencia técnica del Software Universal Desktop Services (UDS) para los usuarios de la Universidad de Almería.","Resuelta","44.160,00","Publicación PLACSP:
Adjudicación:25/03/2021
Formalización:26/03/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=U8c3gG3kXp5vYnTkQN0%2FZA%3D%3D"
"855.20","Suministros","acuerdo marco para el suministro de material de imprenta y artes gráficas","Resuelta","60.000,00","Publicación PLACSP:
Adjudicación:08/04/2021
Formalización:06/05/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=icu7gNDA7%2Bd7h85%2Fpmmsfw%3D%3D"
"842.20","Servicios","Acuerdo marco para la prestación de servicios de Agencia de Viajes","Resuelta","500.000,00","Publicación PLACSP:
Adjudicación:09/06/2021
Formalización:05/07/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=saKAP7ePO0uiEJrVRqloyA%3D%3D"
"861.20","Obras","Obras para el alumbrado exterior de la Universidad de Almería que mejoren la eficiencia lumínica y energética","Resuelta","353.900,05","Publicación PLACSP:
Adjudicación:07/05/2021
Formalización:11/05/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=dfOZbuUu0RdvYnTkQN0%2FZA%3D%3D"
"849BIS.20","Suministros","Suministro de una furgoneta mixta con motor diesel para el uso del Servicio de Infraestructuras y Equipamiento de la Universidad de Almería.","Resuelta","21.000,00","Publicación PLACSP:
Adjudicación:10/03/2021
Formalización:15/03/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=zgcXfOvrpVaXQV0WE7lYPw%3D%3D"
"863.20","Servicios","Desarrollo e implantación de sistemas de administración electrónica en la Universidad de Almería","Resuelta","248.437,20","Publicación PLACSP:
Adjudicación:01/07/2021
Formalización:27/07/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=4o9O4iKw2%2Femq21uxhbaVQ%3D%3D"
"847.20","Suministros","Suministro, montaje, instalación de mobiliario para las nuevas zonas comunes surgidas con la remodelación de la planta baja del Edificio de Atención al Estudiante.","Resuelta","52.000,00","Publicación PLACSP:
Adjudicación:12/02/2021
Formalización:16/02/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=UlGtN1J028Krz3GQd5r6SQ%3D%3D"
"848.20","Servicios","Servicios de consultoría y asistencia técnica en el mantenimiento y conservación de las instalaciones de la Universidad de Almería.","Resuelta","35.000,00","Publicación PLACSP:
Adjudicación:22/02/2021
Formalización:24/02/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=SKRPDlr9T2ouf4aBO%2BvQlQ%3D%3D"
"837.20","Servicios","Servicio de mantenimiento de las instalaciones de protección contra incendios de los edificios de la Universidad de Almería.","Resuelta","59.482,52","Publicación PLACSP:
Adjudicación:18/03/2021
Formalización:22/03/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=al3f%2BDPTbewBPRBxZ4nJ%2Fg%3D%3D"
"835.20","Servicios","Servicio de mantenimiento legal y preventivo de los equipos e instalaciones de climatización de los edificios de la Universidad de Almería.","Resuelta","88.628,53","Publicación PLACSP:
Adjudicación:12/02/2021
Formalización:16/02/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=0o6Nc%2FuPGWR7h85%2Fpmmsfw%3D%3D"
"854.20","Obras","Ejecución de la obra de reforma y adecuación de la antigua sala de juntas y dependencias anexas del Edificio Central de la Universidad de Almería","Resuelta","231.737,61","Publicación PLACSP:
Adjudicación:27/01/2021
Formalización:17/12/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=VpGpBO3HIF57h85%2Fpmmsfw%3D%3D"
"853.20","Servicios","Recogida, transporte, almacenamiento y tratamiento de los residuos generados en los laboratorios de la UAL.","Resuelta","18.000,00","Publicación PLACSP:
Adjudicación:11/01/2021
Formalización:17/12/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=8nb0Fg8sQhN7h85%2Fpmmsfw%3D%3D"
"852.20","Servicios","Prestación de servicios de dirección de Obra de las obras de construcción del edificio de usos múltiples, en el Campus universitario de la Universidad en Almería sito en la Cañada de San Urbano, Almería.","Resuelta","50.000,00","Publicación PLACSP:
Adjudicación:12/02/2021
Formalización:16/02/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=xNvcQO8BS%2FtvYnTkQN0%2FZA%3D%3D"
"843.20","Suministros","Suministro, incluido el transporte, montaje e instalación de equipos de climatización y ventilación, y la ejecución de la obra correspondiente para su instalación en la ampliación de las aulas del Edificio Ciencias de la Salud de la Universidad de Almería.","Resuelta","428.350,64","Publicación PLACSP:
Adjudicación:23/03/2021
Formalización:20/04/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=M6uezXdYlCKmq21uxhbaVQ%3D%3D"
"846.20","Servicios","Servicios de Redacción de proyecto básico, de ejecución y estudio de Seguridad y Salud para la construcción de un edificio de deportes, en el Campus universitario de la Universidad en Almería sito en la Cañada de San Urbano, Almería y su correspondiente Redacción del Estudio de Seguridad y Salud","Resuelta","99.500,00","Publicación PLACSP:
Adjudicación:07/04/2021
Formalización:08/04/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=oGKVCIYg7RnnSoTX3z%2F7wA%3D%3D"
"850.20","Obras","Ejecución de obra del Edificio de Usos Múltiples","Resuelta","2.832.378,61","Publicación PLACSP:
Adjudicación:11/02/2021
Formalización:17/02/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Oc%2BgNRNd9WOrz3GQd5r6SQ%3D%3D"
"849.20","Suministros","Suministro de una furgoneta mixta con motor diesel para el uso del Servicio de Infraestructuras y Equipamiento de la Universidad de Almería.","Resuelta","21.000,00","Publicación PLACSP:
Adjudicación:17/12/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=TSTcCxyrHDsuf4aBO%2BvQlQ%3D%3D"
"717DWC.20","Suministros","Adquisición de equipos iMAC para el equipamiento del aula de informática de la Universidad de Almería mediante contrato basado en el SDA con referencia 717.18 constituido por Resolución del Rector con fecha 26 de noviembre de 2018 según lo definido en el Art 223.","Resuelta","55.016,00","Publicación PLACSP:
Adjudicación:12/02/2021
Formalización:15/02/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=f2b9OyUXghl7h85%2Fpmmsfw%3D%3D"
"717DWB5.20","Suministros","Adquisición de Servidores para cluster VMWARE  para la Universidad de Almería mediante contrato basado en el SDA con referencia 717.18 constituido por Resolución del Rector con fecha 26 de noviembre de 2018 según lo definido en el Art 223.","Resuelta","92.000,00","Publicación PLACSP:
Adjudicación:12/02/2021
Formalización:15/02/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=FnJAl8e5Ixh7h85%2Fpmmsfw%3D%3D"
"717DWB6.20","Suministros","Adquisición de Switch de fibra para ampliación de puertos en SAN para la Universidad de Almería mediante contrato basado en el SDA con referencia 717.18 constituido por Resolución del Rector con fecha 26 de noviembre de 2018 según lo definido en el Art 223.","Resuelta","90.000,00","Publicación PLACSP:
Adjudicación:13/05/2021
Formalización:13/07/2021
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=gA6lXy8LchjnSoTX3z%2F7wA%3D%3D"
